"","Nimi","Osoite","Postinro","Paikkakunta","Kaupunginosa","Aukioloaika","NA"
"1482","Bik Bok","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"1483","Bik Bok","Itäkatu 1-5","00930","Helsinki","Itäkeskus","","Vaatekaupat"
"1484","Bik Bok","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Vaatekaupat"
"1493","Bik Bok","Vantaanportinkatu 7","01510","Vantaa","Pakkala","","Vaatekaupat"
"1494","Bike Company","Mechelininkatu 42","00250","Helsinki","Taka-Töölö","","Urheilukaupat"
"1495","Bike Planet","Friisiläntie 1","02240","Espoo","Friisilä","","Urheilukaupat"
"1496","Bike Planet","Unioninkatu 45","00170","Helsinki","Kluuvi","","Urheilukaupat"
"1497","Bike Planet","Martinkyläntie 39 B","01720","Vantaa","Varisto","","Urheilukaupat"
"1499","Bilia","Olarinluoma 8","02200","Espoo","Niittykumpu","","Autoliikkeet"
"1500","Bilia","Puusepänkatu 2","00880","Helsinki","Herttoniemi","","Autoliikkeet"
"1501","Bilia","Vantaanlaaksontie 6 A","01610","Vantaa","Kaivoksela","","Autoliikkeet"
"1502","Bilia","Vantaanlaaksontie 6 C","01610","Vantaa","Kaivoksela","","Autoliikkeet"
"1503","Biltema","Ruukintie 8","02330","Espoo"," ","","Sekatavarakaupat"
"1504","Biltema","Akseli 3","00750","Helsinki","Tapulikaupunki","","Sekatavarakaupat"
"1519","BK-Group/Forum","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Muut"
"1520","Blippo","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Sekatavarakaupat"
"1526","Boknäs","Fabianinkatu 29","00100","Helsinki","Kluuvi","","Sisustusliikkeet"
"1528","Boknäs","Martinkyläntie 45","01720","Vantaa","Varisto","","Sisustusliikkeet"
"1531","Bossa","Annankatu 21","00100","Helsinki","Kamppi","","Ravintolat"
"1534","BR-lelut","Länsituulentie 12","02100","Espoo","Tapiola","","Lelukaupat"
"1535","BR-lelut","Leppävaarankatu 9","02600","Espoo","Etelä-Leppävaara","","Lelukaupat"
"1536","BR-lelut","Espoonlahdenkatu 4","02320","Espoo","Espoonlahti","","Lelukaupat"
"1537","BR-lelut","Itäkatu 1","00930","Helsinki","Itäkeskus","","Lelukaupat"
"1538","BR-lelut","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Lelukaupat"
"1539","BR-lelut","Mannerheimintie 20","00100","Helsinki","Kamppi","","Lelukaupat"
"1540","BR-lelut","Urho Kekkosen katu 5 B","00100","Helsinki","Kamppi","","Lelukaupat"
"1559","BR-lelut","Iskoskuja 3","01600","Vantaa","Myyrmäki","","Lelukaupat"
"1560","BR-lelut","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Lelukaupat"
"1561","Bravuria","Salomonkatu 1","00100","Helsinki","Kamppi","","Ravintolat"
"1563","Brothers","Leppävaarankatu 3","02600","Espoo","Etelä-Leppävaara","","Vaatekaupat"
"1564","Brothers","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"1565","Brothers","Aleksanterinkatu 9","00100","Helsinki","Kluuvi","","Vaatekaupat"
"1574","Brothers","Vantaaportinkatu 7","01510","Vantaa","Pakkala","","Vaatekaupat"
"1576","Bruuveri Panimoravintola","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Ravintolat"
"1577","Budget Sport","Kuitinmäentie 27","02240","Espoo","Friisilä","","Urheilukaupat"
"1586","Budget Sport","Voimakuja 1","01510","Vantaa","Tammisto","","Urheilukaupat"
"1612","Burger King","Rautatieasema","00100","Helsinki","Kluuvi","","Pikaruokalat"
"1613","Burger King","Mannerheimintie 12","00100","Helsinki","Kluuvi","","Pikaruokalat"
"1614","Burger King","Aleksanterinkatu 11","00100","Helsinki","Kluuvi","","Pikaruokalat"
"1619","Burger King","Iskoskuja 3 A 1","01600","Vantaa","Myyrmäki","","Pikaruokalat"
"1621","Burton Store Helsinki","Sörnäisten Rantatie 27 C","00500","Helsinki","Sörnäinen","","Urheilukaupat"
"1622","Byggmax","Koskelontie 17 B","02920","Espoo","Puotinen","","Rautakaupat"
"1634","Byggmax","Valimotie 18","01510","Vantaa","Pakkala","","Rautakaupat"
"1638","Cafe Amos","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Kahvilat"
"1640","Cafe Corelli","Ruosilankuja 3","00390","Helsinki","Konala","","Kahvilat"
"1643","Cafe Flou","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Kahvilat"
"1644","Cafe Java","Mannerheimintie 22-24","00100","Helsinki","Kamppi","","Kahvilat"
"1645","Cafe Kahvikuja","Kahvikuja 3","00990","Helsinki","Aurinkolahti","","Kahvilat"
"1647","Cafe Picnic","Länsituulentie 6","02100","Espoo","Tapiola","","Kahvilat"
"1648","Cafe Picnic","Hevosenkenkä 3","02600","Espoo","Etelä-Leppävaara","","Kahvilat"
"1649","Cafe Picnic","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Kahvilat"
"1650","Cafe Picnic","Mannerheimintie 20 A","00100","Helsinki","Kluuvi","","Kahvilat"
"1651","Cafe Picnic","Fredrikinkatu 28","00120","Helsinki","Kamppi","","Kahvilat"
"1652","Cafe Picnic","Mannerheimintie 20","00100","Helsinki","Kluuvi","","Kahvilat"
"1653","Cafe Picnic","Kaivokatu 8","00100","Helsinki","Kluuvi","","Kahvilat"
"1654","Cafe Picnic","Fredrikinkatu 61","00100","Helsinki","Kamppi","","Kahvilat"
"1655","Cafe Picnic","Hitsaajankatu 15","00810","Helsinki","Herttoniemenranta","","Kahvilat"
"1656","Cafe Picnic","Itäkatu 1-5","00930","Helsinki","Itäkeskus","","Kahvilat"
"1657","Cafe Picnic","Vuorikatu 12","00100","Helsinki","Kluuvi","","Kahvilat"
"1658","Cafe Picnic","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Kahvilat"
"1659","Cafe Picnic","Kasarmikatu 42","00130","Helsinki","Kaartinkaupunki","","Kahvilat"
"1660","Cafe Picnic","Lauttasaarentie 29","00200","Helsinki","Lauttasaari","","Kahvilat"
"1661","Cafe Picnic","Melkonkatu 28","00210","Helsinki","Lauttasaari","","Kahvilat"
"1662","Cafe Picnic","Kylänvanhimmantie 29","00640","Helsinki","Patola","","Kahvilat"
"1663","Cafe Picnic","Runeberginkatu 46","00260","Helsinki","Taka-Töölö","","Kahvilat"
"1664","Cafe Picnic","Itämerenkatu 11","00180","Helsinki","Ruoholahti","","Kahvilat"
"1665","Cafe Picnic","Hämeentie 29","00500","Helsinki","Harju","","Kahvilat"
"1666","Cafe Picnic","Topeliuksenkatu 8","00250","Helsinki","Taka-Töölö","","Kahvilat"
"1667","Cafe Picnic","Yliopistonkatu 5","00100","Helsinki","Kluuvi","","Kahvilat"
"1668","Cafe Picnic","Yrjönkatu 4","00120","Helsinki","Kaartinkaupunki","","Kahvilat"
"1680","Cafe Picnic","Vantaanportinkatu 7","01510","Vantaa","Pakkala","","Kahvilat"
"1681","Cafe Picnic","Ulkoterminaali, Tuloaula 2","01530","Vantaa","Lentokenttä","","Kahvilat"
"1682","Cafe Picnic","Kivivuorentie 4","01620","Vantaa","Martinlaakso","","Kahvilat"
"1683","Cafe Picnic","Unikkotie 13","01300","Vantaa","Tikkurila","","Kahvilat"
"1684","Cafe Picnic Kamppi","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Kahvilat"
"1686","Cafe Rouge","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Kahvilat"
"1688","Cafe Tin Tin Tango","Töölöntorinkatu 7","00260","Helsinki","Taka-Töölö","","Ravintolat"
"1689","Camu","Vuorikatu 14","00100","Helsinki","Kluuvi","","Urheilukaupat"
"1690","Carelia apteekki","Runeberginkatu 46","00260","Helsinki","Taka-Töölö","","Apteekit"
"1691","Carlings","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Vaatekaupat"
"1692","Carlings","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"1693","Carlings","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Vaatekaupat"
"1705","Carte dor Cafe","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Jäätelöbaarit"
"1707","Casalight valaistus Lanterna","Varikkotie 2","00880","Helsinki","Roihupelto","","Sisustusliikkeet"
"1709","Cave - Boulderkeskus","Ruosilantie 1","00350","Helsinki","Konala","","Muut"
"1710","Cave - Boulderkeskus","Tallikatu 4","00520","Helsinki","Keski-Pasila","","Muut"
"1711","Change","Leppävaarankatu 2","02600","Espoo","Etelä-Leppävaara","","Vaatekaupat"
"1712","Change","Piispansilta 9","02320","Espoo","Matinkylä","","Vaatekaupat"
"1713","Change","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"1714","Change","Itäkatu 1-5 B","00930","Helsinki","Itäkeskus","","Vaatekaupat"
"1727","Change","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Vaatekaupat"
"1728","Change","Iskoskuja 3","01600","Vantaa","Myyrmäki","","Vaatekaupat"
"1732","Chico's","Piispansilta 11","02230","Espoo","Matinkylä","","Ravintolat"
"1733","Chico's","Kuunkatu 3","02210","Espoo","Kuitinmäki","","Ravintolat"
"1734","Chico's","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Ravintolat"
"1735","Chico's","Louhentie 2","02130","Espoo","Pohjois-Tapiola","","Ravintolat"
"1736","Chico's","Hämeentie 109-111","00560","Helsinki","Toukola","","Ravintolat"
"1737","Chico's","Mannerheimintie 68","00260","Helsinki","Taka-Töölö","","Ravintolat"
"1738","Chico's","Vuotie 45","00980","Helsinki","Keski-Vuosaari","","Ravintolat"
"1739","Chico's","Porthaninkatu 4","00530","Helsinki","Linjat","","Ravintolat"
"1740","Chico's","Viikintori 3","00790","Helsinki","Viikin tiedepuisto","","Ravintolat"
"1741","Chico's","Hietalahdenranta 5 C","00120","Helsinki","Kamppi","","Ravintolat"
"1743","Chico's","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Ravintolat"
"1744","Chico's","Myyrmäenraitti 2","01600","Vantaa","Myyrmäki","","Ravintolat"
"1745","Chico's","Tikkuraitti 13","01300","Vantaa","Tikkurila","","Ravintolat"
"1746","Chilli Fastfood Restaurant","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Pikaruokalat"
"1749","City Mail Service Helsinki Oy","Ilmarinkatu 10","00100","Helsinki","Etu-Töölö","","Postit"
"1750","City Pizzeria & Kebab","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Pizzeriat"
"1751","City4Pets Lemmikkikaupunki","Kauppakartanonkatu 3","00930","Helsinki","Itäkeskus","","Eläinkaupat"
"1752","Citykeittiö Deli","Nöykkiönkatu 2","02300","Espoo"," ","","Ravintolat"
"1753","Citykeittiö Deli","Mikkelänkallio 1","02770","Espoo","Muurala","","Ravintolat"
"1754","Citykeittiö Deli","Kalevalantie 3","02130","Espoo","Pohjois-Tapiola","","Ravintolat"
"1755","Citykeittiö Deli","Vuotie 4","00980","Helsinki","Rastila","","Ravintolat"
"1756","Citykeittiö Deli","Vähänkyröntie 2","00610","Helsinki","Käpylä","","Ravintolat"
"1757","Citykeittiö Deli","Ohrahuhdantie 8","00680","Helsinki","Tuomarinkartano","","Ravintolat"
"1758","Citykeittiö Deli","Mechelininkatu 5","00100","Helsinki","Etu-Töölö","","Ravintolat"
"1759","Citykeittiö Deli","Sörnäisten Rantatie 20","00540","Helsinki","Sörnäinen","","Ravintolat"
"1760","Citykeittiö Deli","Koivukylänväylä 66","01390","Vantaa","Koivukylä","","Ravintolat"
"1761","Citykeittiö Deli","Pihkalantie 2","01480","Vantaa","Mikkola","","Ravintolat"
"1762","Citykeittiö Deli","Petikontie 29","01720","Vantaa","Petikko","","Ravintolat"
"1763","Citykeittiö Deli","Koivumäentie 33","01230","Vantaa","Vaarala","","Ravintolat"
"1765","Clas Ohlson","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Sekatavarakaupat"
"1766","Clas Ohlson","Espoonlahdenkatu 4","02320","Espoo","Espoonlahti","","Sekatavarakaupat"
"1767","Clas Ohlson","Siltakatu 11","02770","Espoo","Espoon keskus","","Sekatavarakaupat"
"1768","Clas Ohlson","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Sekatavarakaupat"
"1769","Clas Ohlson","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Sekatavarakaupat"
"1770","Clas Ohlson","Mannerheimintie 4","00100","Helsinki","Kaartinkaupunki","","Sekatavarakaupat"
"1771","Clas Ohlson","Itäkatu 1-7","00930","Helsinki","Itäkeskus","","Sekatavarakaupat"
"1794","Clas Ohlson","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Sekatavarakaupat"
"1795","Clas Ohlson","Iskoskuja 3 A 30","01600","Vantaa","Myyrmäki","","Sekatavarakaupat"
"1796","Classic Pizza","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Pizzeriat"
"1797","Classic Pizza","Piispansilta 11","02230","Espoo","Matinkylä","","Pizzeriat"
"1799","Classic Pizza","Itäkatu 1-7","00930","Helsinki","Itäkeskus","","Pizzeriat"
"1801","Classic Pizza","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Pizzeriat"
"1802","Classic Pizza Iso Omena","Piispansilta 11","02230","Espoo","Matinkylä","","Pizzeriat"
"1803","Classic Pizza Sello","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Pizzeriat"
"1804","Coffee Bar","Keskuskatu 6","00100","Helsinki","Kluuvi","","Kahvilat"
"1805","Coffee House","Piispansilta 11","02230","Espoo","Matinkylä","","Kahvilat"
"1806","Coffee House","Asema-Aukio 2","00100","Helsinki","Kluuvi","","Kahvilat"
"1807","Coffee House","Citykäytävä, katutaso","00100","Helsinki","Etu-Töölö","","Kahvilat"
"1808","Coffee House","Mikonkatu 23","00100","Helsinki","Kluuvi","","Kahvilat"
"1809","Coffee House","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Kahvilat"
"1835","Coffee House","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Kahvilat"
"1837","Colorado Mts Bar & Grill","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Ravintolat"
"1838","Columbuksen Eläinkauppa","Vuotie 45","00980","Helsinki","Keski-Vuosaari","","Eläinkaupat"
"1839","Consmet Oy","Nuijamiestentie 5 A","00400","Helsinki","Pohjois-Haaga","","Muut"
"1845","Cross Sportswear Consept Store","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"1847","Cubus","Piispansilta 9","02230","Espoo","Matinkylä","","Vaatekaupat"
"1848","Cubus","Länsituulentie 12","02100","Espoo","Tapiola","","Vaatekaupat"
"1849","Cubus","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Vaatekaupat"
"1850","Cubus","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Vaatekaupat"
"1851","Cubus","Itäkatu 1-5 A 58","00930","Helsinki","Itäkeskus","","Vaatekaupat"
"1852","Cubus","Mannerheimintie 20","00100","Helsinki","Kluuvi","","Vaatekaupat"
"1853","Cubus","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"1879","Cubus","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Vaatekaupat"
"1881","Cumulus","Siltasaarenkatu 14","00530","Helsinki","Siltasaari","","Hotellit"
"1882","Cumulus","Kaisaniemenkatu 7","00100","Helsinki","Kluuvi","","Hotellit"
"1883","Cumulus","Läntinen Brahenkatu 2","00510","Helsinki","Harju","","Hotellit"
"1906","Cumulus","Robert Huberin tie 6","01510","Vantaa","Veromies","","Hotellit"
"1907","Cybershop","Leppävaarankatu 3","02600","Espoo","Etelä-Leppävaara","","Vaatekaupat"
"1908","Cybershop","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"1909","Cybershop","Kaivokatu 6","00100","Helsinki","Kluuvi","","Vaatekaupat"
"1913","Cycle Center","Annankatu 15","00150","Helsinki","Kamppi","","Urheilukaupat"
"1914","Cycle Center","Helsinginkatu 9","00500","Helsinki","Harju","","Urheilukaupat"
"1915","Cycle Center","Mäkelänkatu 84","00610","Helsinki","Käpylä","","Urheilukaupat"
"1917","Cycles Eriksson","Rekolantie 70","01400","Vantaa","Rekola","","Urheilukaupat"
"1920","Danske Bank","Kauppamiehentie 7","02100","Espoo","Tapiola","","Pankit"
"1921","Danske Bank","Leppävaarankatu 7","02600","Espoo","Etelä-Leppävaara","","Pankit"
"1924","Danske Bank","Kaivokatu 6","00100","Helsinki","Kluuvi","","Pankit"
"1925","Danske Bank","Kaupintie 3 D","00440","Helsinki","Lassila","","Pankit"
"1926","Danske Bank","Ylä-Malmin tori 3","00700","Helsinki","Ylä-Malmi","","Pankit"
"1927","Danske Bank","Tallinnanaukio 1","00930","Helsinki","Itäkeskus","","Pankit"
"1962","Danske Bank","Asematie 12 A","01300","Vantaa","Tikkurila","","Pankit"
"1963","Danske Bank","Kivivuorentie 4","01620","Vantaa","Martinlaakso","","Pankit"
"1971","David Store","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Urheilukaupat"
"1972","Decoart","Kauppakartanonkatu 20 B","00930","Helsinki","Itäkeskus","","Sisustusliikkeet"
"1974","DeeSport","Metsäpurontie 29","00630","Helsinki","Maunula","","Urheilukaupat"
"1975","Delish Iso Roba","Iso Roobertinkatu 2","00120","Helsinki","Punavuori","","Ruokakaupat"
"1976","Della Marga","Pohjoisesplanadi 2","00130","Helsinki","Kaartinkaupunki","","Vaatekaupat"
"1977","Detalji","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"1979","Digishop","Mechelininkatu 12-14","00100","Helsinki","Etu-Töölö","","Elektroniikkaliikkeet"
"1980","Din Sko","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Kenkäkaupat"
"1981","Din Sko","Mannerheimintie 18","00100","Helsinki","Taka-Töölö","","Kenkäkaupat"
"1982","Din Sko","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Kenkäkaupat"
"1983","Din Sko","Itäkatu 7","00930","Helsinki","Itäkeskus","","Kenkäkaupat"
"1990","Din Sko","Vantaanportinkatu 3","01530","Vantaa","Pakkala","","Kenkäkaupat"
"1992","DLS Entertainment","Santakatu 2a 12","00180","Helsinki","Ruoholahti","",""
"1993","DLX Deluxe Music","Hermannin Rantatie 10","00580","Helsinki","Sörnäinen","","Musiikkiliikkeet"
"1994","DNA Kauppa","Leppävaarankatu 5","02600","Espoo","Etelä-Leppävaara","","Matkapuhelimet"
"1995","DNA Kauppa","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Matkapuhelimet"
"1996","DNA Kauppa","Piispansilta 11","02230","Espoo","Matinkylä","","Matkapuhelimet"
"2001","DNA Kauppa","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Matkapuhelimet"
"2002","DNA Kauppa","Kaivokatu 8","00100","Helsinki","Kluuvi","","Matkapuhelimet"
"2003","DNA Kauppa","Kaivokatu 10","00100","Helsinki","Kluuvi","","Matkapuhelimet"
"2004","DNA Kauppa","Siltasaarenkatu 12","00530","Helsinki","Siltasaari","","Matkapuhelimet"
"2005","DNA Kauppa","Vanhanlinnantie 1","00900","Helsinki","Puotinharju","","Matkapuhelimet"
"2006","DNA Kauppa","Töölönlahdenkatu 2","00100","Helsinki","Kluuvi","","Matkapuhelimet"
"2007","DNA Kauppa","Itäkatu 1-5","00930","Helsinki","Itäkeskus","","Matkapuhelimet"
"2008","DNA Kauppa","Ala-Malmintori 5","00700","Helsinki","Ylä-Malmi","","Matkapuhelimet"
"2009","DNA Kauppa","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Matkapuhelimet"
"2062","DNA Kauppa","Vantaanportti 3","01510","Vantaa","Pakkala","","Matkapuhelimet"
"2063","DNA Kauppa","Valimotie 9","01510","Vantaa","Tammisto","","Matkapuhelimet"
"2064","DNA Kauppa","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Matkapuhelimet"
"2070","Don Corleone","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Ravintolat"
"2072","Dressmann","Piispansilta 11","02230","Espoo","Matinkylä","","Vaatekaupat"
"2073","Dressmann","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Vaatekaupat"
"2074","Dressmann","Valankuja 10","02770","Espoo","Lintukorpi","","Vaatekaupat"
"2078","Dressmann","Aleksanterinkatu 11","00100","Helsinki","Kluuvi","","Vaatekaupat"
"2079","Dressmann","Ala-Malmin tori 5","00700","Helsinki","Ala-Malmi","","Vaatekaupat"
"2080","Dressmann","Itäkatu 7 E 26","00930","Helsinki","Itäkeskus","","Vaatekaupat"
"2081","Dressmann","Mannerhemintie 20","00100","Helsinki","Kamppi","","Vaatekaupat"
"2082","Dressmann","Vuotie 45","00980","Helsinki","Keski-Vuosaari","","Vaatekaupat"
"2083","Dressmann","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Vaatekaupat"
"2139","Dressmann","Iskoskuja 3","01600","Vantaa","Myyrmäki","","Vaatekaupat"
"2140","Dressmann","Asematie 4-10","01300","Vantaa","Tikkurila","","Vaatekaupat"
"2144","Dressmann XL","Itäkatu 1 A","00930","Helsinki","Itäkeskus","","Vaatekaupat"
"2145","Dressmann XL","Aleksanterinkatu 11","00100","Helsinki","Kluuvi","","Vaatekaupat"
"2152","Dressmann XL","Vantaanportinkatu 7","01510","Vantaa","Pakkala","","Vaatekaupat"
"2154","Drinksdeli","Viidakkoplku 4","01400","Vantaa","Asola","","Muut"
"2155","Ea-terveydenhoito-myymälä","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Kauneus ja terveys"
"2156","EB Games","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Tietokoneliikkeet"
"2157","Ecco","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Kenkäkaupat"
"2158","Ecco Shop","Piispansilta 11","02230","Espoo","Matinkylä","","Kenkäkaupat"
"2160","Ecco Shop","Kaivokatu 6","00100","Helsinki","Kluuvi","","Kenkäkaupat"
"2161","Ecco Shop","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Kenkäkaupat"
"2178","Ecco Shop","Nilsaksenpolku 2","01510","Vantaa","Pakkala","","Kenkäkaupat"
"2181","Eiran apteekki","Korkeavuorenkatu 2 A","00140","Helsinki","Ullanlinna","","Apteekit"
"2182","Ekasalongit","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Parturit ja kampaamot"
"2183","Ekasalongit","Viikintori 3","00790","Helsinki","Viikin tiedepuisto","","Parturit ja kampaamot"
"2184","Ekasalongit","Hansakuja 4-5","00930","Helsinki","Itäkeskus","","Parturit ja kampaamot"
"2185","Ekasalongit","Unioninkatu 32","00100","Helsinki","Kluuvi","","Parturit ja kampaamot"
"2187","Ekokauppa Ekolo","Porthaninkatu 1","00530","Helsinki","Linjat","","Muut"
"2200","Electrobike","Konalantie 47","00390","Helsinki","Konala","","Urheilukaupat"
"2207","Elektroni.fi","Insinöörinkatu 7 B","00880","Helsinki","Herttoniemi","","Tietokoneliikkeet"
